location,scale,EI,shape
13.830235058288466,1.019812256648253,0.8919937742141341,-0.03061765112710696
7.735641020909462,0.502902515365823,0.8731517973337606,-0.03064851016124815
5.876850831339621,0.34383509649960237,0.8554973611863624,-0.035992199241761946
5.188436221199128,0.2505028493040616,0.9678415788493085,-0.022076230008308984
4.486223722481012,0.19934073270342864,0.8454729684131969,-0.03184113160918352
4.184166709056742,0.17099515829646889,0.9691012699107208,-0.030245321227301766
3.9077715553611965,0.14297394944011818,0.9131463299605557,-0.01391681279569638
3.685665111413276,0.12529014312303277,1.003834754657159,-0.03016931444979004
3.5634706503371625,0.11509556093970906,0.8472625357924094,-0.03260720498492066
3.4149869760981666,0.10406044240809689,0.937413884472708,-0.014933182968782446
